driver_id,driver_name,gender,age,experience_years,driver_score,city,primary_zone,vehicle_type,completed_rides,driver_status,join_date
69,Craig Stewart,Female,34,7,4.64,Lima,Centro de Lima,Hatchback,4801,Active,2022-01-29
70,Jonathan Bradley,Male,34,9,4.24,Lima,San Isidro,Motorbike,3926,Active,2024-03-08
71,Kristina Ashley,Male,61,10,4.64,Lima,La Molina,Motorbike,2795,Active,2026-02-07
72,Laura James,Male,33,3,5.0,Lima,La Molina,Hatchback,250,Active,2022-05-21
73,Carla Frederick,Male,25,8,4.49,Lima,Los Olivos,Hatchback,3445,Active,2022-02-02
74,George Pennington,Male,30,11,5.0,Lima,Los Olivos,SUV,95,Active,2023-10-14
75,Hunter Vaughan,Male,65,9,3.45,Lima,Ate,SUV,3855,Active,2022-05-25
76,Jessica Wood DDS,Female,28,8,4.83,Lima,Ate,Motorbike,1142,Inactive,2025-10-12
77,Elizabeth Ramirez,Female,49,10,4.53,Lima,Ate,Hatchback,4185,Active,2021-12-28
78,Brooke Michael,Male,51,8,4.38,Lima,Surco,Hatchback,2173,Active,2025-04-25
79,Danielle Macdonald,Female,38,8,4.54,Lima,La Molina,Motorbike,684,Active,2021-05-31
80,James Guerra,Male,55,2,3.7,Lima,La Molina,Hatchback,1183,Active,2022-08-07
81,William Welch,Female,34,2,4.41,Lima,San Miguel,Hatchback,3448,Active,2021-10-04
82,Terry Vasquez,Female,34,14,4.64,Lima,Callao,Sedan,3491,Active,2022-08-26
83,Danielle Williams,Male,57,7,5.0,Lima,San Miguel,Motorbike,3957,Active,2021-08-29
84,Douglas White,Male,47,9,4.29,Lima,Centro de Lima,SUV,4523,Active,2022-09-12
85,Michael Miller,Female,52,1,4.18,Lima,Los Olivos,SUV,3235,Active,2021-09-22
86,Antonio Foster,Male,29,10,4.3,Lima,Los Olivos,Sedan,4425,Active,2021-10-24
87,Maria Mills,Male,48,3,4.87,Lima,Miraflores,Motorbike,3832,Active,2025-03-29
88,Chad Williams,Female,34,8,4.63,Lima,Los Olivos,Motorbike,2727,Active,2025-08-03
89,Emily Patton,Female,47,5,4.29,Lima,Miraflores,Sedan,720,Inactive,2024-06-01
90,Kimberly Rojas,Male,43,4,4.71,Lima,Miraflores,SUV,612,Active,2024-11-06
91,Jennifer Stanton,Male,22,10,4.54,Lima,Barranco,Hatchback,1298,Active,2026-01-25
92,Joseph Long,Female,57,4,4.89,Lima,San Miguel,SUV,3859,Active,2025-01-26
93,Mark Gardner,Female,28,13,4.22,Lima,San Isidro,Sedan,1391,Inactive,2025-10-17
94,Jonathan Andrews,Female,57,11,4.37,Lima,La Molina,Sedan,3124,Active,2026-01-31
95,Marcus Hanson,Female,61,4,4.34,Lima,Callao,Sedan,884,Active,2023-02-04
96,Bonnie Howard,Female,57,13,3.91,Lima,Ate,Hatchback,386,Active,2024-07-17
97,Kristin Clark,Male,25,9,4.62,Lima,Los Olivos,Hatchback,2845,Active,2024-03-10
98,Charles Phillips,Male,44,11,4.6,Lima,Los Olivos,SUV,3816,Active,2021-09-26
99,Robert Gomez,Female,62,5,4.5,Lima,Centro de Lima,Hatchback,4458,Active,2024-04-08
100,Sandra Lopez,Male,58,5,4.41,Lima,San Isidro,Motorbike,2690,Active,2021-06-30
101,Jared Mason,Female,36,13,3.93,Lima,San Miguel,Sedan,3856,Active,2026-05-11
102,Ashley Jacobs,Male,41,3,4.33,Lima,San Miguel,Motorbike,4044,Active,2022-10-11
103,Krystal Patel,Male,59,12,4.36,Lima,Ate,SUV,2313,Active,2022-12-30
104,John Bentley,Male,47,8,4.18,Lima,Centro de Lima,Hatchback,4598,Active,2025-06-05
105,Diana Long,Male,22,2,4.44,Lima,Los Olivos,SUV,2460,Active,2022-03-06
106,Robert Robinson,Female,58,6,4.66,Lima,Los Olivos,Motorbike,3926,Active,2025-06-14
107,Taylor Robinson,Female,50,5,5.0,Lima,La Molina,Sedan,2561,Active,2026-01-07
108,Jennifer Wade,Male,41,2,4.57,Lima,La Molina,SUV,4439,Active,2022-11-20
109,Lauren Cox,Female,38,12,4.6,Lima,San Isidro,SUV,4879,Active,2023-03-21
110,Anthony Little,Male,44,3,4.47,Lima,Ate,SUV,2526,Active,2022-10-27
111,Kenneth Ramirez,Male,24,9,3.73,Lima,Centro de Lima,Sedan,2443,Active,2022-05-01
112,Tanya Lee,Female,57,5,4.49,Lima,Centro de Lima,Motorbike,3895,Active,2025-02-13
113,William Zhang,Male,24,5,4.52,Lima,San Isidro,Hatchback,3963,Active,2024-09-09
114,Brandon Jordan,Male,57,11,5.0,Lima,Barranco,Motorbike,489,Active,2024-04-06
115,Emily Glover,Female,36,2,4.42,Lima,Callao,SUV,4621,Active,2022-10-24
116,Rachel Greene,Female,45,8,4.62,Lima,Callao,Hatchback,3676,Active,2022-04-17
117,Brianna Smith,Male,60,1,4.49,Lima,La Molina,Motorbike,862,Active,2025-01-07
118,Melinda Winters,Male,31,4,4.03,Lima,Barranco,Sedan,1473,Active,2022-08-03
119,Jessica Lee,Female,65,10,4.96,Lima,Miraflores,SUV,3899,Active,2023-07-27
120,Lisa Greer,Male,39,12,4.8,Lima,La Molina,Motorbike,3769,Active,2023-08-05
121,Lindsey Young,Female,61,10,4.82,Lima,San Isidro,SUV,1670,Active,2025-04-21
122,Donald Sanchez,Male,38,14,4.14,Lima,Miraflores,SUV,1215,Active,2024-05-27
123,Javier Foster,Female,59,12,5.0,Lima,Centro de Lima,Sedan,4712,Active,2023-01-21
124,Laura Maldonado MD,Female,40,12,3.94,Lima,Ate,Hatchback,3347,Active,2021-07-12
125,Dean Rogers,Female,59,1,4.73,Lima,Callao,Motorbike,3589,Active,2025-03-18
126,Ashley Russell,Male,35,11,5.0,Lima,Surco,Sedan,4762,Active,2026-01-02
127,Rebecca Hughes,Female,32,8,4.1,Lima,Surco,SUV,4301,Inactive,2021-10-18
128,Dawn Grimes,Male,48,11,4.27,Lima,Centro de Lima,Motorbike,4078,Active,2023-03-26
129,David Sharp,Male,41,11,4.54,Lima,San Miguel,Hatchback,906,Active,2021-05-17
130,Amanda Calderon,Male,39,11,4.3,Lima,Centro de Lima,Sedan,3330,Active,2024-08-17
131,Christopher Vasquez,Male,41,2,3.88,Lima,Ate,Hatchback,3361,Active,2026-05-14
132,Christopher Barnes,Female,33,9,4.53,Lima,Centro de Lima,Sedan,3013,Active,2024-08-27
133,Terri Anderson,Female,56,3,4.08,Lima,Centro de Lima,Sedan,2409,Active,2023-12-25
134,Patricia Yates,Male,61,10,4.69,Lima,Surco,Sedan,2010,Active,2025-11-08
135,Joseph Lopez,Female,26,4,4.13,Lima,San Isidro,SUV,979,Active,2021-09-02
136,Christina Stafford,Female,39,9,5.0,Lima,Centro de Lima,Hatchback,2289,Active,2021-11-09
137,Emily Richardson,Male,56,3,4.19,Lima,Callao,SUV,3192,Active,2025-03-21
138,Jacob Vega,Female,38,13,4.37,Lima,Ate,Motorbike,3449,Active,2023-04-19
139,Jessica Brown,Female,39,12,4.83,Lima,Barranco,Hatchback,2495,Active,2024-04-02
140,Dawn Spencer,Female,43,6,4.01,Lima,Centro de Lima,Motorbike,4571,Active,2025-10-10
141,Erin Jenkins,Female,65,4,4.59,Lima,La Molina,Hatchback,4734,Active,2025-01-10
142,John Prince,Female,51,12,5.0,Lima,Barranco,Hatchback,3173,Inactive,2023-09-27
143,Kari Mack MD,Female,29,9,3.86,Lima,San Isidro,Hatchback,4884,Active,2022-07-24
144,Brandon Rogers,Female,50,1,4.57,Lima,Barranco,Sedan,1230,Active,2025-12-01
145,Sonya Allen,Male,37,6,4.6,Lima,San Miguel,Hatchback,3306,Inactive,2022-06-09
146,Randy Nelson,Male,61,12,4.81,Lima,Callao,Sedan,4047,Active,2022-12-19
147,Jesse Smith,Male,64,15,4.01,Lima,San Isidro,Hatchback,2404,Inactive,2026-01-30
148,Thomas Lawson,Female,61,12,3.97,Lima,Barranco,Motorbike,873,Active,2022-12-02
149,Amber Peters,Female,23,6,4.71,Lima,San Miguel,Motorbike,509,Active,2024-05-08
150,Kyle Leon,Male,36,9,4.62,Lima,Barranco,SUV,3425,Active,2023-08-04
151,Megan Rice,Female,45,10,4.6,Lima,Callao,SUV,2022,Active,2021-06-23
152,Laurie Garrett,Female,61,5,4.64,Lima,Miraflores,Hatchback,3814,Active,2022-08-09
153,Yvonne Murray,Male,64,9,4.23,Lima,Centro de Lima,Motorbike,1344,Inactive,2024-05-01
154,Ryan Rose,Female,40,11,4.59,Lima,Centro de Lima,Motorbike,3525,Active,2021-12-19
155,Richard Thomas,Male,45,14,4.62,Lima,La Molina,Hatchback,4008,Active,2025-02-09
156,Marcus Gordon,Male,57,5,4.21,Lima,Los Olivos,Motorbike,2468,Active,2026-03-20
157,Jeremy Hughes PhD,Female,64,13,5.0,Lima,Surco,SUV,451,Active,2021-09-30
158,Emily Beck,Female,43,4,4.69,Lima,Barranco,Sedan,1607,Active,2023-06-14
159,Jo Wong,Female,62,1,4.02,Lima,Miraflores,Motorbike,2580,Active,2022-09-05
160,John Davis,Female,26,15,4.76,Lima,Los Olivos,SUV,2467,Active,2026-02-06
161,Gregory Johnson,Female,55,15,4.11,Lima,Barranco,Motorbike,3047,Active,2021-08-11
162,Todd Smith,Female,51,13,4.81,Lima,San Isidro,Hatchback,2467,Inactive,2024-11-30
163,Joshua Smith,Female,30,13,4.96,Lima,Ate,Motorbike,1898,Active,2024-04-13
164,Joshua Waters,Male,46,1,4.17,Lima,Centro de Lima,Motorbike,2216,Active,2025-03-07
165,Robert Flores,Female,64,5,4.89,Lima,San Miguel,Sedan,4838,Active,2024-05-07
166,Jasmine Johnson,Female,51,1,4.67,Lima,Callao,SUV,4649,Active,2021-07-20
167,Ms. Sandra Harmon,Female,61,14,4.83,Lima,Los Olivos,Sedan,3853,Active,2023-02-07
168,Robert Cook,Male,23,5,5.0,Lima,San Isidro,SUV,4085,Active,2024-01-18
169,Jessica Williams,Female,29,7,4.4,Lima,Ate,Hatchback,3766,Active,2024-03-19
170,Cassandra Li,Male,30,15,4.2,Lima,Centro de Lima,Hatchback,3448,Inactive,2024-11-06
171,Sara King,Male,38,1,4.14,Lima,Centro de Lima,Hatchback,3085,Inactive,2025-01-15
172,Joshua Mcguire,Female,44,2,4.17,Lima,Miraflores,Hatchback,3059,Active,2023-08-31
173,Jason Leonard,Male,28,14,4.47,Lima,La Molina,Sedan,3775,Active,2025-12-23
174,Yvonne Wolfe,Male,42,4,4.64,Lima,San Isidro,SUV,1081,Active,2024-08-31
175,Jacqueline Solis,Male,35,6,4.61,Lima,Surco,SUV,1258,Inactive,2023-08-20
176,Nicholas Alexander,Male,55,5,4.83,Lima,Miraflores,SUV,1479,Active,2022-10-03
177,Joseph Nielsen,Male,36,10,4.51,Lima,Barranco,Motorbike,2702,Active,2025-09-06
178,Eric Carroll,Male,47,9,5.0,Lima,Centro de Lima,Hatchback,981,Active,2022-06-28
179,Daniel Maldonado,Female,53,10,4.39,Lima,Ate,SUV,943,Inactive,2022-04-05
180,Breanna Rodriguez,Female,23,12,5.0,Lima,Centro de Lima,Sedan,4321,Active,2025-10-29
181,Jodi Moore,Female,51,14,4.75,Lima,San Isidro,Hatchback,3340,Active,2025-03-11
182,Joseph Foster,Female,49,2,4.16,Lima,Callao,SUV,711,Active,2023-07-29
183,Jesse Hughes,Female,38,10,4.07,Lima,Los Olivos,Motorbike,4845,Active,2021-12-26
184,Benjamin Murillo,Male,59,7,4.69,Lima,Ate,SUV,862,Active,2025-02-23
185,Christina Nelson,Female,35,7,4.41,Lima,Los Olivos,Hatchback,2826,Active,2025-04-22
186,Paula Hatfield,Female,41,7,4.79,Lima,San Miguel,SUV,2610,Active,2022-12-26
187,Betty Alexander,Male,51,2,4.69,Lima,San Isidro,Hatchback,797,Active,2022-08-13
188,David Travis,Male,44,13,4.47,Lima,Callao,Motorbike,1115,Active,2021-12-05
189,Emily Silva,Male,47,6,4.16,Lima,Surco,Motorbike,3514,Active,2023-06-26
190,Heather Bryant,Male,57,9,3.89,Lima,Centro de Lima,SUV,1792,Active,2021-12-13
191,Laura White,Female,43,14,4.32,Lima,San Isidro,Motorbike,4606,Active,2023-03-15
192,Carrie Rose,Male,48,14,4.84,Lima,Callao,Motorbike,4645,Active,2025-03-13
193,Christine Calderon,Female,38,12,4.59,Lima,San Miguel,Sedan,2581,Active,2021-12-11
194,Diana King,Male,30,10,4.0,Lima,Barranco,Sedan,3333,Active,2025-01-10
195,Jesse Smith,Female,54,4,4.57,Lima,Centro de Lima,Motorbike,3131,Active,2024-11-29
196,Paige King,Male,40,12,4.65,Lima,Miraflores,SUV,2707,Active,2025-06-07
197,Anna Gill,Female,60,1,4.15,Lima,Centro de Lima,Hatchback,718,Active,2022-02-21
198,Pamela Santana,Male,49,7,4.56,Lima,Ate,Sedan,2287,Active,2025-07-16
199,Ryan Hayes,Female,28,5,4.52,Lima,Ate,Motorbike,4908,Active,2022-02-22
200,Diane Gardner,Male,46,10,4.04,Lima,La Molina,Motorbike,498,Inactive,2024-01-30
201,Julie Stephenson,Female,29,13,4.64,Lima,San Miguel,Sedan,2143,Active,2025-11-01
202,Julie Johnson,Female,48,3,4.72,Lima,Ate,SUV,1108,Active,2021-11-30
203,Mark Diaz,Male,63,13,4.93,Lima,Los Olivos,Sedan,2951,Active,2025-03-02
204,Jason Powers,Female,50,15,4.92,Lima,Callao,Hatchback,687,Active,2024-06-12
205,Michael Smith,Male,61,7,3.95,Lima,Los Olivos,Sedan,2421,Inactive,2024-02-24
206,Benjamin Sanchez,Female,31,13,4.12,Lima,San Isidro,Hatchback,3819,Active,2025-01-01
207,Sara Torres,Female,36,7,4.71,Lima,Ate,Sedan,4874,Active,2023-09-04
208,Melvin Brooks,Male,40,12,4.71,Lima,San Miguel,SUV,2831,Active,2023-02-22
209,Brian Beasley,Male,61,2,4.71,Lima,San Miguel,Motorbike,4396,Active,2024-10-28
210,Jose Jones,Male,62,14,5.0,Lima,San Isidro,SUV,1259,Active,2022-07-03
211,Christopher Lee,Male,32,10,4.73,Lima,Barranco,Hatchback,1302,Active,2025-01-10
212,Frank Holmes,Female,57,13,4.95,Lima,Callao,Motorbike,4797,Active,2022-06-27
213,Kenneth Hall,Female,61,6,4.88,Lima,San Isidro,Hatchback,1286,Active,2025-12-29
214,Keith Pierce,Male,40,13,4.76,Lima,San Miguel,Sedan,2300,Active,2023-04-23
215,Rachel Ford,Female,49,1,4.37,Lima,Surco,Sedan,516,Active,2022-07-24
216,Mckenzie Pitts,Female,26,10,4.8,Lima,Centro de Lima,Sedan,4916,Active,2024-07-22
217,James Williams,Female,57,11,4.19,Lima,Callao,Hatchback,1592,Active,2025-12-03
218,Brenda Robinson,Female,24,8,4.41,Lima,San Isidro,SUV,897,Active,2024-12-08
219,Frank Barrera,Male,49,8,4.31,Lima,San Miguel,Motorbike,4343,Active,2025-05-16
220,Mark Walsh,Male,45,7,4.53,Lima,San Miguel,Sedan,2821,Active,2021-08-17
221,Brian Neal,Female,56,11,5.0,Lima,Surco,SUV,3216,Active,2024-08-25
222,Anthony Morgan,Female,58,11,3.75,Lima,Surco,Hatchback,1208,Active,2022-03-14
223,Ashley Holt,Female,26,5,4.77,Lima,San Miguel,SUV,4628,Active,2023-08-08
224,Kathryn Patterson,Male,64,15,3.85,Lima,Los Olivos,Motorbike,4362,Active,2025-02-02
225,Michael Green,Female,40,3,4.31,Lima,Centro de Lima,SUV,1804,Active,2021-06-07
226,Larry Gutierrez,Female,29,3,4.94,Lima,San Isidro,Sedan,682,Active,2023-04-13
227,Kimberly Rodriguez,Female,60,3,4.53,Lima,Barranco,SUV,4942,Active,2025-10-23
228,Jacob Ortiz,Female,65,13,4.07,Lima,Miraflores,Hatchback,1406,Active,2023-07-31
229,Jeremy Johnson,Female,36,8,4.21,Lima,La Molina,SUV,2384,Active,2022-10-31
230,Joseph Huff,Female,51,15,4.77,Lima,Callao,Hatchback,1639,Active,2025-11-18
231,Deanna Gates,Female,39,13,4.21,Lima,Barranco,SUV,3178,Active,2026-01-17
232,Lindsay Moreno,Male,29,14,4.59,Lima,Centro de Lima,Motorbike,2098,Active,2023-10-21
233,Eric Wagner,Male,27,12,4.52,Lima,Surco,Sedan,4276,Active,2024-08-09
234,Steven Pena,Male,38,8,4.24,Lima,Los Olivos,Sedan,4255,Inactive,2025-03-16
235,Sylvia Goodwin,Female,35,14,5.0,Lima,Miraflores,Hatchback,3745,Active,2025-05-09
236,Jose Stewart,Female,53,6,4.75,Lima,San Isidro,Motorbike,1981,Active,2022-08-02
237,Spencer Davis,Female,41,15,3.69,Lima,Barranco,SUV,861,Active,2025-06-23
238,Cory Marks,Female,51,12,4.57,Lima,Centro de Lima,Sedan,1186,Active,2025-11-08
239,Duane Evans,Male,22,5,4.24,Lima,Ate,Hatchback,1816,Active,2023-09-05
240,Dean Wu,Male,39,4,4.84,Lima,Miraflores,SUV,2517,Active,2023-06-14
241,Taylor Cain,Male,60,8,4.18,Lima,Centro de Lima,Sedan,564,Active,2022-03-28
242,David Salinas,Female,57,4,4.45,Lima,Los Olivos,Sedan,1226,Active,2023-11-09
243,Steven Hall,Male,36,10,4.7,Lima,San Isidro,Motorbike,3462,Active,2024-10-16
244,Russell Williams,Male,54,9,4.85,Lima,Los Olivos,Hatchback,4206,Active,2023-02-28
245,John Allen,Male,45,6,4.02,Lima,San Miguel,Sedan,2127,Active,2023-03-14
246,Sherry Cabrera,Female,63,11,4.37,Lima,Barranco,Sedan,899,Active,2025-01-25
247,Krista Kennedy,Female,42,14,4.31,Lima,Centro de Lima,SUV,1484,Active,2022-11-21
248,Sarah Brewer,Male,25,12,4.24,Lima,Surco,SUV,3799,Active,2023-08-04
249,Wanda Knight DDS,Female,33,15,5.0,Lima,Surco,Hatchback,393,Inactive,2021-09-13
250,Anthony Lloyd,Male,55,8,4.66,Lima,La Molina,Motorbike,2125,Active,2022-01-16
251,Barbara Johnson,Female,24,14,4.0,Lima,San Isidro,Motorbike,2769,Active,2021-10-15
252,Robert Ellis,Female,46,12,4.87,Lima,San Miguel,SUV,3652,Active,2025-08-10
253,Tracy Warner,Female,52,6,5.0,Lima,San Isidro,Hatchback,4303,Active,2025-11-13
254,Emily Smith,Female,59,14,4.91,Lima,San Miguel,Sedan,1528,Active,2023-03-21
255,Tanya Hammond,Female,63,5,3.89,Lima,Callao,Hatchback,2560,Active,2022-03-07
256,Lynn Forbes,Male,49,6,4.31,Lima,San Miguel,Hatchback,3712,Active,2024-04-02
257,Derek Jenkins,Female,24,2,5.0,Lima,Ate,SUV,3377,Inactive,2022-11-15
258,Billy Russell,Male,30,14,4.22,Lima,Barranco,Sedan,3639,Active,2025-08-09
259,Juan Rice,Female,62,6,4.68,Lima,Callao,Sedan,3016,Active,2021-10-26
260,Jonathan Fields,Female,64,8,4.81,Lima,Centro de Lima,Sedan,3088,Active,2024-01-20
261,Lucas Smith,Female,54,6,4.13,Lima,Surco,SUV,3310,Inactive,2023-09-02
262,John Young,Female,22,12,4.48,Lima,Ate,Hatchback,1574,Active,2022-06-04
263,Joshua Rios,Female,28,5,3.2,Lima,La Molina,Motorbike,2182,Active,2023-03-16
264,Michael Santana,Male,52,4,4.09,Lima,San Isidro,Hatchback,1054,Active,2023-07-14
265,Nicole Santiago,Female,49,2,4.4,Lima,San Isidro,Motorbike,2668,Active,2024-02-23
266,Gregory Thompson,Female,31,12,4.0,Lima,Ate,SUV,1476,Active,2025-02-24
267,Michelle Russo,Male,33,13,5.0,Lima,Centro de Lima,Sedan,1187,Active,2023-04-25
268,Adam Weber,Male,57,6,3.93,Lima,Callao,Sedan,3878,Active,2022-01-22
269,Cathy Lambert,Female,46,12,4.32,Lima,Los Olivos,Sedan,3971,Active,2024-01-12
270,Lori Gutierrez,Female,41,11,4.55,Lima,Centro de Lima,Motorbike,657,Active,2024-04-22
271,Rebecca Beasley,Male,56,11,5.0,Lima,Barranco,Hatchback,4865,Active,2025-10-21
272,Thomas Hall,Male,24,14,3.93,Lima,Surco,SUV,1067,Active,2021-06-08
273,Richard Bolton,Female,35,6,4.97,Lima,San Isidro,Motorbike,4300,Active,2024-10-09
274,Brenda Johnson,Female,56,5,4.5,Lima,Callao,Sedan,1075,Active,2021-12-07
275,Rachel Palmer,Male,31,10,4.11,Lima,Barranco,Motorbike,4806,Active,2024-05-08
276,Rachel Caldwell,Male,57,1,4.68,Lima,Miraflores,Motorbike,282,Active,2025-06-12
277,Mr. Kenneth Floyd,Female,57,7,4.58,Lima,Ate,Motorbike,298,Active,2021-09-03
278,Dr. Joshua Ellis,Female,40,8,4.26,Lima,Surco,Hatchback,2056,Active,2022-02-14
279,Brianna Wilkinson,Female,24,3,4.53,Lima,Centro de Lima,Hatchback,3651,Active,2022-04-11
280,Alexandria Deleon,Female,59,3,4.35,Lima,San Miguel,Hatchback,2610,Active,2021-09-21
281,Courtney Martinez,Male,44,9,4.55,Lima,San Miguel,SUV,4651,Active,2021-07-25
282,Bailey Green,Male,38,8,4.76,Lima,San Isidro,Sedan,2080,Active,2025-01-25
